post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,featured,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,tax:product_brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,meta:attr_label_translations,meta:total_sales,meta:wcml_sync_hash,meta:attribute_brand,meta:attribute_color,meta:attribute_length,attribute:Color,attribute_data:Color,attribute_default:Color,attribute:Length,attribute_data:Length,attribute_default:Length,attribute:brand,attribute_data:brand,attribute_default:brand,attribute:color,attribute_data:color,attribute_default:color
"ARKOCAPS. AJO - 84 cáps.",arkocaps-ajo-84-caps,,4001,"""Arkocápsulas大蒜 ""是一种含有100%植物活性成分的配方。

大蒜起源于中亚，在古埃及就有栽培，后来像野火一样传遍了各大洲，首先是因为它的药用价值，然后是它的烹饪用途。

一旦切碎或捣烂，大蒜球茎中的蒜氨酸就会转化为大蒜素，也就是导致大蒜异味的硫化合物。 为了避免这种影响并享受清新的口气，必须用一种不影响大蒜在血液循环中的特性的抗胃肠道涂层来阻断这种天然酶过程的进行。

Arkopharma 实验室凭借其在植物疗法领域的专业知识，专门开发了 Arkocápsulas 大蒜配方：该配方以 Arkototum® Integral 为基础，在保持其质量和完整性的同时，100% 还原了植物的活性成分。

Arkocápsulas 系列产品在法国研发和生产，为您提供大自然的精华。

成分：大蒜球茎（Allium sativum L.）粉碎粉末（Totum Integral）。 - 膨松剂：纤维素 - 抗凝结剂：硬脂酸镁。 100% 植物胶囊：纤维素衍生物。

平均营养信息：
                                      每 1 粒
大蒜球茎粉 300 毫克

包装：84 粒""。","Arkocápsulas® Ajo 是一种专门用于促进循环系统健康的食品补充剂。 大蒜有助于维持正常的血液循环，并有助于维持正常的胆固醇水平。 由于其创新的生产工艺，它不会引起口臭。

得益于其独特的经验和专业知识，Arkopharma 汇集了 100% 的大蒜活性成分，它们发挥协同作用，尽可能地尊重您的身体。",publish,,0,"2025-01-21 04:28:06",1,open,3580000000000,,,no,no,,15.10,11.66,,,,,,outofstock,no,no,,no,taxable,,,,,,,,,,,"https://wordpress-319567-5178156.cloudwaysapps.com/wp-content/uploads/2025/01/292839.jpg ! alt :  ! title :  ! desc :  ! caption : ",,https://wordpress-319567-5178156.cloudwaysapps.com/product/arkocaps-ajo-84-caps/,,simple,outofstock,"养生保健 > 循环系统护理, 养生保健",,,,,,,,,,,,,,,,,,,,
"Product Title English",product-title-english,,8039806012178,"Product Description English","Product Short Description English",publish,,0,"2025-01-15 05:07:26",20,open,,,,no,no,,1000,900,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://wordpress-319567-5178156.cloudwaysapps.com/product/product-title-english/,,simple,,Shoes,,,,1,,,,,,,,,,,,,,,,
测试产品简述中文,product-title-english-2,,8039806012179,测试产品简述中文,测试产品简述中文,draft,,0,"2025-01-15 05:07:26",20,open,,,,no,no,,1000,900,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://wordpress-319567-5178156.cloudwaysapps.com/?post_type=product&p=8039806012179,,simple,,Uncategorized,,,,29,"{""postmeta_fields"":""299757bb063fcc880442cff13d2255ce""}",,,,,,,,,,,,,,,
"Producto de prueba Descripción corta Chino",product-title-english-2,,8039806012180,"Producto de prueba Descripción corta Chino","Producto de prueba Descripción corta Chino",publish,,0,"2025-01-15 05:07:26",20,open,,,,no,no,,1000,900,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://wordpress-319567-5178156.cloudwaysapps.com/product/product-title-english-2/,,simple,,,,,,29,"{""postmeta_fields"":""299757bb063fcc880442cff13d2255ce""}",,,,,,,,,,,,,,,
"ARKOCAPS. AJO - 84 cáps.",arkocaps-ajo-84-caps-3,,8039806012183,"""Arkocápsulas大蒜 ""是一种含有100%植物活性成分的配方。

大蒜起源于中亚，在古埃及就有栽培，后来像野火一样传遍了各大洲，首先是因为它的药用价值，然后是它的烹饪用途。

一旦切碎或捣烂，大蒜球茎中的蒜氨酸就会转化为大蒜素，也就是导致大蒜异味的硫化合物。 为了避免这种影响并享受清新的口气，必须用一种不影响大蒜在血液循环中的特性的抗胃肠道涂层来阻断这种天然酶过程的进行。

Arkopharma 实验室凭借其在植物疗法领域的专业知识，专门开发了 Arkocápsulas 大蒜配方：该配方以 Arkototum® Integral 为基础，在保持其质量和完整性的同时，100% 还原了植物的活性成分。

Arkocápsulas 系列产品在法国研发和生产，为您提供大自然的精华。

成分：大蒜球茎（Allium sativum L.）粉碎粉末（Totum Integral）。 - 膨松剂：纤维素 - 抗凝结剂：硬脂酸镁。 100% 植物胶囊：纤维素衍生物。

平均营养信息：
                                      每 1 粒
大蒜球茎粉 300 毫克

包装：84 粒""。","Arkocápsulas® Ajo 是一种专门用于促进循环系统健康的食品补充剂。 大蒜有助于维持正常的血液循环，并有助于维持正常的胆固醇水平。 由于其创新的生产工艺，它不会引起口臭。

得益于其独特的经验和专业知识，Arkopharma 汇集了 100% 的大蒜活性成分，它们发挥协同作用，尽可能地尊重您的身体。",publish,,0,"2025-01-21 04:28:06",1,open,3580000000000,,,no,no,,15.10,11.66,,,,,,outofstock,no,no,,no,taxable,,,,,,,,,,,"https://wordpress-319567-5178156.cloudwaysapps.com/wp-content/uploads/2025/01/292839.jpg ! alt :  ! title :  ! desc :  ! caption : ",,https://wordpress-319567-5178156.cloudwaysapps.com/product/arkocaps-ajo-84-caps-3/,,simple,outofstock,,,,,,"{""postmeta_fields"":""06a34d1709cb4c2e25501ec0d9e00733""}",,,,,,,,,,,,,,,
"Live Wonderful All Season Purple Lavender Flower Tree Healthy Live Plant For Home Garden Outdoor Indoor plant in Black Pot",arkocaps-ajo-84-caps-3-2,,8039806012184,"Arkocápsulas Garlic, a formula with 100% plant-based active ingredients.

Garlic, which originated in Central Asia and was already cultivated in ancient Egypt, spread like wildfire across all continents, first for its medicinal qualities and then for its culinary use.

Once chopped or pulverised, the alliin present in the garlic bulb is transformed into allicin, the sulphur compound responsible for garlic's bad smell. To avoid this effect and enjoy fresh breath, the progression of this natural enzymatic process must be interrupted by a gastro-resistant coating, which does not affect the properties of garlic on the circulation.

Drawing on its expertise in the field of phytotherapy, Laboratoires Arkopharma has specially developed Arkocápsulas Garlic: a formula based on Arkototum® Integral, which restores 100% of the plant's active ingredients while preserving their quality and integrity.

Created and manufactured in France, the Arkocápsulas range offers you the best of nature.

Composition:Powder (Totum Integral) of pulverised garlic bulb (Allium sativum L.). - Bulking agent: cellulose - Anti-caking agent: magnesium stearate. 100% VEGETAL CAPSULE: cellulose derivative.

Average Nutritional Information:
Per 1 capsule
Garlic bulb powder 300mg

Presentation or Pack: 84 capsules.","Arkocápsulas® Ajo is a food supplement specially designed for circulatory well-being. Garlic helps maintain proper blood circulation and helps maintain normal cholesterol levels. Thanks to its innovative manufacturing process, it does not cause bad breath.

Thanks to its unique experience and expertise, Arkopharma brings together 100% of the active ingredients of garlic, which act synergistically, respecting your body as much as possible.",publish,,0,"2025-01-21 04:34:55",1,open,3580000000000,,,no,no,,333333,3333,,,,,,outofstock,no,no,,no,taxable,,,,,,,,,,,"https://wordpress-319567-5178156.cloudwaysapps.com/wp-content/uploads/2025/01/292839.jpg ! alt :  ! title :  ! desc :  ! caption :  | https://wordpress-319567-5178156.cloudwaysapps.com/wp-content/uploads/2025/01/167113811-0be977aa-edfe-4a09-b36d-a62f02de4a29.jpeg ! alt :  ! title : 167113811-0be977aa-edfe-4a09-b36d-a62f02de4a29.jpeg ! desc :  ! caption : ",,https://wordpress-319567-5178156.cloudwaysapps.com/product/arkocaps-ajo-84-caps-3-2/,,simple,outofstock,"HEALTH > CIRCULATORY CARE, HEALTH",,,,2,,,,,,,,,,,,,,,,
"ARKOCAPS. AJO - 84 cáps.",arkocaps-ajo-84-caps-4,,8039806012185,"Arkocápsulas Ajo, una fórmula con principios activos <strong>100 % vegetales</strong>

El ajo, que procede de Asia central y ya se cultivaba en el antiguo Egipto, se extendió como la pólvora por todos los continentes, primero por sus cualidades medicinales y después por su uso culinario.

Una vez picada o pulverizada, la aliina presente en el bulbo del ajo se transforma en alicina, el compuesto azufrado responsable del mal olor del ajo. Para evitar este efecto y disfrutar de un aliento fresco, es preciso interrumpir la progresión de este proceso enzimático natural mediante un recubrimiento gastro-resistente, que no afecte a las propiedades del ajo sobre la circulación.

Valiéndose de su experiencia en el campo de la fitoterapia, Laboratorios Arkopharma ha desarrollado especialmente Arkocápsulas Ajo:<strong> una fórmula a base de Arkototum® Integral, que permite restituir el 100 % de los principios activos de la planta, conservando su calidad e integridad.</strong>

Creada y fabricada en Francia, la gama Arkocápsulas le ofrece lo mejor de la naturaleza.

Composición:Polvo (Totum Integral) de bulbo de Ajo pulverizado (Allium sativum L.). - Agente de carga: celulosa - Antiaglomerante: estearato de magnesio. CÁPSULA 100% VEGETAL: derivado de la celulosa.

Información Nutricional Media:
Por 1 Cápsula
Polvo de bulbo de Ajo 300mg

Presentación ó Envase: 84 cápsulas","<ul>
 	<li>Arkocápsulas® Ajo es un complemento alimenticio especialmente diseñado para el bienestar circulatorio. El Ajo contribuye a mantener una adecuada circulación sanguínea y ayuda a mantener los niveles normales de colesterol. Gracias a su innovador proceso de fabricación, no produce mal aliento.</li>
 	<li>Gracias a su experiencia y conocimientos únicos, Arkopharma reúne el 100 % de los principios activos del ajo, que actúan de forma sinérgica, respetando al máximo tu organismo.</li>
</ul>",publish,,0,"2025-01-21 04:28:06",1,open,3580000000000,,,no,no,,15.10,11.66,,,,,,outofstock,no,no,,no,taxable,,,,,,,,,,,"https://wordpress-319567-5178156.cloudwaysapps.com/wp-content/uploads/2025/01/292839.jpg ! alt :  ! title :  ! desc :  ! caption : ",,https://wordpress-319567-5178156.cloudwaysapps.com/product/arkocaps-ajo-84-caps-4/,,simple,outofstock,,,,,,"{""postmeta_fields"":""06a34d1709cb4c2e25501ec0d9e00733""}",,,,,,,,,,,,,,,
"test variable (Color)",test-variable,,8039806012492,,,publish,,0,"2025-09-17 09:37:26",1,open,wefdwefwgw,,,no,no,,100,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://wordpress-319567-5178156.cloudwaysapps.com/product/test-variable/,,variable,,Uncategorized,,,,,,,,,,,,,,,,,,"Red | Green | Yellow",0|1|1,
"test variable (Color) - Red",test-variable-red,8039806012492,8039806012493,,"color: Red",publish,,1,"2025-09-17 09:39:26",1,closed,,wefdwefwgw,,no,no,,100,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://wordpress-319567-5178156.cloudwaysapps.com/wp-content/uploads/2025/01/167113864-14d59cf5-1233-4053-8193-070413ea3434.jpeg ! alt :  ! title : 167113864-14d59cf5-1233-4053-8193-070413ea3434.jpeg ! desc :  ! caption : ",,https://wordpress-319567-5178156.cloudwaysapps.com/product/test-variable/,,,,,,,,,,,Red,,,,,,,,,,,,,
"test variable (Color) - Green",test-variable-green,8039806012492,8039806012494,,"color: Green",publish,,2,"2025-09-17 09:39:26",1,closed,,wefdwefwgw,,no,no,,200,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://wordpress-319567-5178156.cloudwaysapps.com/product/test-variable/,,,,,,,,,,,Green,,,,,,,,,,,,,
